skim_type,skim_variable,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist
character,game_id,0,1,13,15,0,6134,0,NA,NA,NA,NA,NA,NA,NA,NA
character,old_game_id,0,1,10,10,0,6134,0,NA,NA,NA,NA,NA,NA,NA,NA
character,home_team,0,1,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,away_team,0,1,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,season_type,0,1,3,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
character,posteam,74782,0.931927869867191,0,3,104,33,0,NA,NA,NA,NA,NA,NA,NA,NA
character,posteam_type,74782,0.931927869867191,4,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
character,defteam,74782,0.931927869867191,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,side_of_field,85173,0.9224692099729649,0,5,79,38,0,NA,NA,NA,NA,NA,NA,NA,NA
character,game_date,0,1,10,10,0,1169,0,NA,NA,NA,NA,NA,NA,NA,NA
character,game_half,0,1,5,8,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,time,1137,0.9989650181599716,0,5,62,1502,0,NA,NA,NA,NA,NA,NA,NA,NA
character,yrdln,7356,0.9933040225019798,0,6,2,1659,0,NA,NA,NA,NA,NA,NA,NA,NA
character,desc,0,1,4,1079,0,990769,0,NA,NA,NA,NA,NA,NA,NA,NA
character,play_type,50328,0.9541877167590596,3,11,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA
character,pass_length,806758,0.26562895400384134,4,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
character,pass_location,806698,0.26568357045977953,4,6,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,run_location,778466,0.2913824335272217,4,6,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,run_gap,870143,0.20793121967648853,3,6,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,field_goal_result,1075311,0.02117206914443326,4,7,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,extra_point_result,1070162,0.025859071338194206,4,7,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA
character,two_point_conv_result,1096605,0.0017886889319752575,7,7,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
character,timeout_team,1053072,0.04141565853791751,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,td_team,1068075,0.02775881373057698,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,td_player_name,1068075,0.02775881373057698,5,19,0,2989,0,NA,NA,NA,NA,NA,NA,NA,NA
character,td_player_id,1068076,0.02775790345631135,10,10,0,3264,0,NA,NA,NA,NA,NA,NA,NA,NA
character,passer_player_id,653500,0.40513576740671964,10,10,0,767,0,NA,NA,NA,NA,NA,NA,NA,NA
character,passer_player_name,653500,0.40513576740671964,5,17,0,802,0,NA,NA,NA,NA,NA,NA,NA,NA
character,receiver_player_id,715364,0.34882256023739955,10,10,0,3088,0,NA,NA,NA,NA,NA,NA,NA,NA
character,receiver_player_name,715364,0.34882256023739955,5,18,0,2971,0,NA,NA,NA,NA,NA,NA,NA,NA
character,rusher_player_id,764576,0.3040261430769091,10,10,0,2262,0,NA,NA,NA,NA,NA,NA,NA,NA
character,rusher_player_name,764576,0.3040261430769091,5,18,0,2206,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_receiver_player_id,1098347,2.0299116123689842e-4,10,10,0,181,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_receiver_player_name,1098347,2.0299116123689842e-4,6,16,0,181,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_rusher_player_id,1098531,3.550069635982478e-5,10,10,0,37,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_rusher_player_name,1098531,3.550069635982478e-5,6,13,0,37,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_sack_player_id,1098570,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_sack_player_name,1098570,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
character,interception_player_id,1086906,0.01061743903438106,10,10,0,1982,0,NA,NA,NA,NA,NA,NA,NA,NA
character,interception_player_name,1086906,0.01061743903438106,5,19,0,1904,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_interception_player_id,1098491,7.19116669852804e-5,10,10,0,70,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_interception_player_name,1098491,7.19116669852804e-5,5,14,0,70,0,NA,NA,NA,NA,NA,NA,NA,NA
character,punt_returner_player_id,1059306,0.03574100876594122,10,10,0,930,0,NA,NA,NA,NA,NA,NA,NA,NA
character,punt_returner_player_name,1059305,0.03574191904020685,5,19,0,910,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_punt_returner_player_id,1098509,5.552673020381427e-5,10,10,0,56,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_punt_returner_player_name,1098509,5.552673020381427e-5,5,19,0,56,0,NA,NA,NA,NA,NA,NA,NA,NA
character,kickoff_returner_player_name,1059285,0.03576012452551958,5,19,0,2072,0,NA,NA,NA,NA,NA,NA,NA,NA
character,kickoff_returner_player_id,1059286,0.035759214251253946,10,10,0,2222,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_kickoff_returner_player_id,1098419,1.374514141110339e-4,10,10,0,132,0,NA,NA,NA,NA,NA,NA,NA,NA
character,lateral_kickoff_returner_player_name,1098419,1.374514141110339e-4,6,16,0,132,0,NA,NA,NA,NA,NA,NA,NA,NA
character,punter_player_id,1041530,0.05192204411189094,10,10,0,222,0,NA,NA,NA,NA,NA,NA,NA,NA
character,punter_player_name,1041530,0.05192204411189094,5,16,0,243,0,NA,NA,NA,NA,NA,NA,NA,NA
character,kicker_player_name,985912,0.10254967821804706,3,14,0,334,0,NA,NA,NA,NA,NA,NA,NA,NA
character,kicker_player_id,985912,0.10254967821804706,10,10,0,310,0,NA,NA,NA,NA,NA,NA,NA,NA
character,own_kickoff_recovery_player_id,1098310,2.3667130906546152e-4,10,10,0,238,0,NA,NA,NA,NA,NA,NA,NA,NA
character,own_kickoff_recovery_player_name,1098310,2.3667130906546152e-4,5,19,0,236,0,NA,NA,NA,NA,NA,NA,NA,NA
character,blocked_player_id,1097590,8.920687803235516e-4,10,10,0,622,0,NA,NA,NA,NA,NA,NA,NA,NA
character,blocked_player_name,1097589,8.929790545891825e-4,4,19,0,603,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_for_loss_1_player_id,1048762,0.04533894062280963,10,10,0,3367,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_for_loss_1_player_name,1048699,0.04539628790154471,4,19,0,3226,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_for_loss_2_player_id,1098559,1.0013016922050255e-5,10,10,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_for_loss_2_player_name,1098559,1.0013016922050255e-5,6,12,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA
character,qb_hit_1_player_id,1050497,0.0437596147719308,10,10,0,2982,0,NA,NA,NA,NA,NA,NA,NA,NA
character,qb_hit_1_player_name,1050490,0.043765986691790215,4,19,0,2829,0,NA,NA,NA,NA,NA,NA,NA,NA
character,qb_hit_2_player_id,1096391,0.0019834876248213673,10,10,0,1015,0,NA,NA,NA,NA,NA,NA,NA,NA
character,qb_hit_2_player_name,1096391,0.0019834876248213673,5,19,0,995,0,NA,NA,NA,NA,NA,NA,NA,NA
character,forced_fumble_player_1_team,1087072,0.010466333506285452,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,forced_fumble_player_1_player_id,1087105,0.010436294455519413,10,10,0,2977,0,NA,NA,NA,NA,NA,NA,NA,NA
character,forced_fumble_player_1_player_name,1087079,0.010459961586426036,4,19,0,2720,0,NA,NA,NA,NA,NA,NA,NA,NA
character,forced_fumble_player_2_team,1098504,6.0078101531968464e-5,2,3,0,26,0,NA,NA,NA,NA,NA,NA,NA,NA
character,forced_fumble_player_2_player_id,1098504,6.0078101531968464e-5,10,10,0,65,0,NA,NA,NA,NA,NA,NA,NA,NA
character,forced_fumble_player_2_player_name,1098504,6.0078101531968464e-5,6,14,0,65,0,NA,NA,NA,NA,NA,NA,NA,NA
character,solo_tackle_1_team,599256,0.45451268467189165,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,solo_tackle_2_team,1092308,0.005700137451414067,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,solo_tackle_1_player_id,599641,0.45416222907962167,10,10,0,8252,0,NA,NA,NA,NA,NA,NA,NA,NA
character,solo_tackle_2_player_id,1092376,0.005638238801350837,10,10,0,3134,0,NA,NA,NA,NA,NA,NA,NA,NA
character,solo_tackle_1_player_name,599306,0.4544671709586098,4,19,0,7320,0,NA,NA,NA,NA,NA,NA,NA,NA
character,solo_tackle_2_player_name,1092313,0.005695586080085913,4,18,0,2863,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_1_player_id,956715,0.12912695595182833,10,10,0,5669,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_1_player_name,956715,0.12912695595182833,5,19,0,5142,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_1_team,956715,0.12912695595182833,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_2_player_id,1039980,0.05333296922362707,10,10,0,4638,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_2_player_name,1039980,0.05333296922362707,5,19,0,4165,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_2_team,1039980,0.05333296922362707,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_3_player_id,1098567,2.730822796892518e-6,10,10,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_3_player_name,1098567,2.730822796892518e-6,8,9,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_3_team,1098567,2.730822796892518e-6,3,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_4_player_id,1098567,2.730822796892518e-6,10,10,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_4_player_name,1098567,2.730822796892518e-6,7,8,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,assist_tackle_4_team,1098567,2.730822796892518e-6,3,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_with_assist_1_player_id,1015313,0.0757867045340761,10,10,0,4738,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_with_assist_1_player_name,1015313,0.0757867045340761,5,19,0,4380,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_with_assist_1_team,1015313,0.0757867045340761,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_with_assist_2_player_id,1098570,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_with_assist_2_player_name,1098570,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
character,tackle_with_assist_2_team,1098570,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
character,pass_defense_1_player_id,1042237,0.05127848020608605,10,10,0,3379,0,NA,NA,NA,NA,NA,NA,NA,NA
character,pass_defense_1_player_name,1042236,0.05127939048035168,4,19,0,3197,0,NA,NA,NA,NA,NA,NA,NA,NA
character,pass_defense_2_player_id,1096864,0.0015529278971754268,10,10,0,996,0,NA,NA,NA,NA,NA,NA,NA,NA
character,pass_defense_2_player_name,1096864,0.0015529278971754268,5,19,0,963,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumbled_1_team,1081551,0.01549195772686307,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumbled_1_player_id,1081555,0.015488316629800547,10,10,0,2696,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumbled_1_player_name,1081555,0.015488316629800547,5,19,0,2517,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumbled_2_player_id,1098456,1.0377126628258182e-4,10,10,0,111,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumbled_2_player_name,1098456,1.0377126628258182e-4,5,12,0,110,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumbled_2_team,1098456,1.0377126628258182e-4,2,3,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumble_recovery_1_team,1082877,0.014284934050629472,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumble_recovery_1_player_id,1082887,0.014275831307973053,10,10,0,5004,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumble_recovery_1_player_name,1082887,0.014275831307973053,5,19,0,4398,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumble_recovery_2_team,1098447,1.1196373467325937e-4,2,3,0,31,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumble_recovery_2_player_id,1098447,1.1196373467325937e-4,10,10,0,120,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fumble_recovery_2_player_name,1098447,1.1196373467325937e-4,5,13,0,118,0,NA,NA,NA,NA,NA,NA,NA,NA
character,sack_player_id,1073024,0.023253866389943312,10,10,0,2582,0,NA,NA,NA,NA,NA,NA,NA,NA
character,sack_player_name,1072977,0.023296649280428183,4,19,0,2488,0,NA,NA,NA,NA,NA,NA,NA,NA
character,half_sack_1_player_id,1096089,0.002258390453043546,10,10,0,1118,0,NA,NA,NA,NA,NA,NA,NA,NA
character,half_sack_1_player_name,1096089,0.002258390453043546,5,18,0,1084,0,NA,NA,NA,NA,NA,NA,NA,NA
character,half_sack_2_player_id,1096089,0.002258390453043546,10,10,0,1094,0,NA,NA,NA,NA,NA,NA,NA,NA
character,half_sack_2_player_name,1096089,0.002258390453043546,5,19,0,1063,0,NA,NA,NA,NA,NA,NA,NA,NA
character,return_team,971115,0.11601900652666652,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,penalty_team,1021292,0.07034417469983711,2,3,0,32,0,NA,NA,NA,NA,NA,NA,NA,NA
character,penalty_player_id,1024660,0.06727837097317424,10,47,0,7741,0,NA,NA,NA,NA,NA,NA,NA,NA
character,penalty_player_name,1024735,0.06721010040325148,5,19,0,6791,0,NA,NA,NA,NA,NA,NA,NA,NA
character,replay_or_challenge_result,1090418,0.007420555813466567,6,8,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
character,penalty_type,1021527,0.07013026024741253,7,38,0,69,0,NA,NA,NA,NA,NA,NA,NA,NA
character,safety_player_name,1098320,2.275685664090421e-4,4,15,0,217,0,NA,NA,NA,NA,NA,NA,NA,NA
character,safety_player_id,1098325,2.230171950808879e-4,10,47,0,224,0,NA,NA,NA,NA,NA,NA,NA,NA
character,series_result,248,0.9997742519821222,4,17,0,11,0,NA,NA,NA,NA,NA,NA,NA,NA
character,start_time,91628,0.916593389588283,7,8,0,48,0,NA,NA,NA,NA,NA,NA,NA,NA
character,time_of_day,157093,0.8570022847884068,7,8,0,62195,0,NA,NA,NA,NA,NA,NA,NA,NA
character,stadium,569653,0.48145953375752115,3,35,0,149,0,NA,NA,NA,NA,NA,NA,NA,NA
character,weather,563302,0.4872406856185769,22,123,0,2682,0,NA,NA,NA,NA,NA,NA,NA,NA
character,nfl_api_id,91628,0.916593389588283,36,36,0,5619,0,NA,NA,NA,NA,NA,NA,NA,NA
character,play_clock,409460,0.6272790991925867,1,2,0,47,0,NA,NA,NA,NA,NA,NA,NA,NA
character,play_type_nfl,91848,0.916393129249843,4,11,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA
character,st_play_type,1097598,8.847865861983939e-4,7,7,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
character,end_clock_time,893921,0.1862867181881901,4,5,0,902,0,NA,NA,NA,NA,NA,NA,NA,NA
character,end_yard_line,249182,0.7731760379402314,2,7,0,2240,0,NA,NA,NA,NA,NA,NA,NA,NA
character,fixed_drive_result,556,0.9994938875083063,4,17,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_real_start_time,1098570,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_time_of_possession,14081,0.9871824280655762,4,5,0,675,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_start_transition,18201,0.9834320980911548,4,19,0,29,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_end_transition,50801,0.9537571570314136,4,19,0,31,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_game_clock_start,14081,0.9871824280655762,4,5,0,1500,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_game_clock_end,14081,0.9871824280655762,4,5,0,1500,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_start_yard_line,16021,0.9854164959902418,0,6,241,1614,0,NA,NA,NA,NA,NA,NA,NA,NA
character,drive_end_yard_line,16021,0.9854164959902418,0,6,241,1634,0,NA,NA,NA,NA,NA,NA,NA,NA
character,location,0,1,4,7,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
character,roof,4387,0.9960066267966539,4,8,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA
character,surface,0,1,5,10,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA
character,home_coach,0,1,7,20,0,151,0,NA,NA,NA,NA,NA,NA,NA,NA
character,away_coach,0,1,7,20,0,151,0,NA,NA,NA,NA,NA,NA,NA,NA
character,stadium_id,0,1,5,5,0,59,0,NA,NA,NA,NA,NA,NA,NA,NA
character,game_stadium,0,1,8,35,0,94,0,NA,NA,NA,NA,NA,NA,NA,NA
